Age Group ,<1 year ,<1 year,1-9 years ,1-9 years,10-19 years,10-19 years ,20-29 years,20-29 years ,30-39 years,30-39 years ,40-49 years,40-49 years ,50-59 years,50-59 years,60+ years ,60+ years,Unk.,
Population ,"100,078","100,078","921,396","921,396","1,062,211","1,062,211","1,136,433","1,136,433","1,066,140","1,066,140","1,190,020","1,190,020","1,105,440","1,105,440","1,419,306","1,419,306",,
Disease,N,Rate,N,Rate,N,Rate,N,Rate,N,Rate,N,Rate,N,Rate,N,Rate,,
Amebiasis ,0,0,0,0,1,0.1,2,0.2,3,0.3,3,0.3,6,0.5,2,0.1,0,
Arboviral infection ,0,0,1,0.1,4,0.4,0,0,3,0.3,4,0.3,3,0.3,5,0.4,0,
Campylobacteriosis ,24,24,79,8.6,61,5.7,117,10.3,102,9.6,138,11.6,119,10.8,164,11.6,1,
Chickenpox (Varicella) ,22,22,243,26.4,188,17.7,41,3.6,35,3.3,13,1.1,,5 0.5 ,2 0.1 ,0,,
Chlamydia trachomatis infection ,8,8,13,1.4,"11,265",1060.5,"20,825","1,832.50","3,177",298,769,64.6,169,15.3,91,6.4,0,
Cryptosporidiosis ,2,2,9,1,15,1.4,24,2.1,24,2.3,22,1.8,11,1,33,2.3,0,
Ehrlichiosis/Anaplasmosis ,1,1,3,0.3,5,0.5,4,0.4,9,0.8,21,1.8,,42,3.8,46,3.2,0
"E. coli infection, Shiga toxin-producing ",8,8,47,5.1,20,1.9,19,1.7,7,0.7,8,0.7,4 0.4 ,10,0.7,0,,
Giardiasis ,2,2,45,4.9,18,1.7,55,4.8,26,2.4,59,5,36,3.3,49,3.5,0,
Gonorrhea ,1,1,2,0.2,"1,845",173.7,"3,621",318.6,707,66.3,251,21.1,72,6.5,22,1.6,0,
"Haemophilus influenzae infection, invasive ",2,2,5,0.5,1,0.1,9,0.8,3,0.3,8,0.7,14,1.3,66,4.7,0,
Hemolytic uremic syndrome ,0,0,3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,
Hepatitis A ,0,0,0,0,2,0.2,3,0.3,6,0.6,6,0.5,6,0.5,7,0.5,0,
"Hepatitis B, acute ",0,0,0,0,1,0.1,17,1.5,18,1.7,23,1.9,15,1.4,10,0.7,0,
"Hepatitis C, acute ",0,0,0,0,2,0.2,8,0.7,8,0.8,7,0.6,0,0,0,0,0,
HIV disease* ,1,1,3,0.3,47,4.4,376,33.1,228,21.4,241,20.3,133,12,52,3.7,4,
Lead - elevated blood levels in children** ,10,10,254,27.6,10,1.6,-,- ,-,- ,-,-,-,- ,-,- ,0,
Legionellosis ,0,0,0,0,1,0.1,2,0.2,11,1,14,1.2,22,2,43,3,0,
Listeriosis ,1,1,0,0,0,0,0,0,1,0.1,2,0.2,1,0.1,10,0.7,0,
Lyme disease ,0,0,156,16.9,173,16.3,92,8.1,99,9.3,130,10.9,156,14.1,216,15.2,1,
Malaria ,0,0,7,0.8,3,0.3,14,1.2,23,2.2,15,1.3,11,1,5,0.4,0,
Measles ,1,1,2,0.2,1,0.1,1,0.1,2,0.2,0,0,0,0,0,0,0,
Meningococcal disease ,0,0,0,0,6,0.6,0,0,3,0.3,2,0.2,3,0.3,3,0.2,1,
Mumps ,0,0,2,0.2,8,0.8,0,0,0,0,0,0,0,0,3,0.2,0,
Pertussis ,38,38,133,14.4,89,8.4,22,1.9,29,2.7,33,2.8,21,1.9,24,1.7,10,
Q fever ,0,0,0,0,0,0,0,0,1,0.1,1,0.1,0,0,1,0.1,0,
Salmonellosis ,92,91.9,251,27.2,114,10.7,153,13.5,118,11.1,117,9.8,128,11.6,230,16.2,5,
Shigellosis ,0,0,44,4.8,3,0.3,19,1.7,14,1.3,10,0.8,9,0.8,8,0.6,0,
Spotted Fever Rickettsiosis (including RMSF) ,1,1,11,1.2,18,1.7,23,2,28,2.6,34,2.9,53,4.8,63,4.4,0,
"Staphylococcus aureus infection, invasive (MRSA) ",9,9,17,1.8,12,1.1,49,4.3,62,5.8,156,13.1,225,20.4,759,53.5,15,
"Streptococcal disease, Group A, invasive or TSS ",5,5,10,1.1,8,0.8,8,0.7,13,1.2,22,1.8,34,3.1,91,6.4,1,
"Streptococcus pneumoniae, invasive*** ",9,9,24,5.9,-,- ,-,- ,-,-,-,-,-,- ,-,- ,0,
"Syphilis, early ",0,0,0,0,31,2.9,217,19.1,109,10.2,,90,7.6,40,3.6,15,1.1,0
Tuberculosis ,0,0,6,0.7,10,0.9,45,4,37,3.5,46,3.9,30,2.7,47,3.3,0,
Typhoid fever ,0,0,1,0.1,0,0,5,0.4,0,0,0,0,2,0.2,1,0.1,0,
Vibrio infection ,0,0,3,0.3,4,0.4,5,0.4,1,0.1,4,0.3,5,0.5,8,0.6,0,