Race,Total,Black,Black,White,White,Other,Other,Unk
Population,8001024,1551399,1551399,5486852,5486852,926773,926773,
Disease,,N,Rate,N,Rate,N,Rate,N
Amebiasis,17,3,0.2,2,0,5,0.5,7
Arboviral infection,20,2,0.1,6,0.1,1,0.1,11
Campylobacteriosis,805,36,2.3,414,7.5,12,1.2,343
Chickenpox (Varicella),549,58,3.7,335,6.1,34,3.5,122
Chlamydia trachomatis infection,"36,317","17,209",1109.3,"6,886",125.5,"1,755",182.3,"10,467"
Cryptosporidiosis,140,16,1,85,1.5,3,0.3,36
Ehrlichiosis/Anaplasmosis,131,9,0.6,61,1.1,2,0.2,59
"E. coli infection, Shiga toxin-producing",123,8,0.5,83,1.5,2,0.2,30
Giardiasis,290,12,0.8,94,1.7,7,0.7,177
Gonorrhea,"6,521","4,381",282.4,693,12.6,155,16.1,"1,292"
"Haemophilus influenzae infection, invasive",108,18,1.2,79,1.4,1,0.1,10
Hemolytic uremic syndrome,3,0,0,3,0.1,0,0,0
Hepatitis A,30,3,0.2,17,0.3,5,0.5,5
"Hepatitis B, acute",84,22,1.4,33,0.6,0,0,29
"Hepatitis C, acute",25,2,0.1,18,0.3,0,0,5
HIV disease*,"1,085",654,42.2,280,5.1,151,15.7,0
Lead - elevated blood levels in children**,274,63,18.1,36,3.6,24,8.6,151
Legionellosis,93,24,1.5,41,0.7,1,0.1,27
Listeriosis,15,4,0.3,9,0.2,1,0.1,1
Lyme disease,"1,023",14,0.9,567,10.3,21,2.2,421
Malaria,78,39,2.5,11,0.2,3,0.3,25
Measles,7,0,0,4,0.1,2,0.2,1
Meningococcal disease,18,4,0.3,13,0.2,0,0,1
Mumps,13,0,0,9,0.2,0,0,4
Pertussis,399,22,1.4,220,4,7,0.7,150
Q fever,3,0,0,1,0,0,0,2
Salmonellosis,"1,208",153,9.9,558,10.2,22,2.3,475
Shigellosis,107,15,1,40,0.7,4,0.4,48
Spotted Fever Rickettsiosis (including RMSF),231,8,0.5,90,1.6,1,0.1,132
"Staphylococcus aureus infection, invasive (MRSA)","1,304",308,19.9,679,12.4,11,1.1,306
"Streptococcal disease, Group A, invasive or TSS",192,34,2.2,101,1.8,7,0.7,50
"Streptococcus pneumoniae, invasive***",33,9,8.5,15,4.9,5,5.1,4
"Syphilis, early",502,308,19.9,154,2.8,39,4.1,1
Tuberculosis,221,47,3,88,1.6,86,8.9,0
Typhoid fever,9,0,0,1,0,5,0.5,3
Vibrio infection,30,3,0.2,14,0.3,1,0.1,12