Health Planning Region,Total,Total,Northwest Region,Northwest Region,Northern Region,Northern Region,Southwest Region,Southwest Region,Central Region,Central Region,Eastern Region,Eastern Region
Population,8001024,8001024,"1,237,472","1,237,472","2,230,623","2,230,623","1,356,557","1,356,557","1,367,170","1,367,170","1,809,202","1,809,202"
Disease,N,Rate,N,Rate,N,Rate,N,Rate,N,Rate,N,Rate
Amebiasis,17,0.2,0,0,10,0.4,0,0,5,0.4,2,0.1
Arboviral infection,20,0.2,2,0.2,13,0.6,3,0.2,2,0.1,0,0
Campylobacteriosis,805,10.1,173,14,201,9,194,14.3,107,7.8,130,7.2
Chickenpox (Varicella),549,6.9,156,12.6,138,6.2,78,5.7,82,6,95,5.3
Chlamydia trachomatis infection,"36,317",453.9,"3,730",301.4,"4,703",210.8,"4,658",343.4,"8,635",631.6,"14,591",806.5
Cryptosporidiosis,140,1.7,19,1.5,51,2.3,24,1.8,17,1.2,29,1.6
Ehrlichiosis/Anaplasmosis,131,1.6,34,2.7,22,1,34,2.5,22,1.6,19,1.1
"E. coli infection, Shiga toxin-producing",123,1.5,31,2.5,49,2.2,18,1.3,15,1.1,10,0.6
Giardiasis,290,3.6,51,4.1,106,4.8,48,3.5,28,2,57,3.2
Gonorrhea,"6,521",81.5,438,35.4,571,25.6,824,60.7,"1,704",124.6,"2,984",164.9
"Haemophilus influenzae infection, invasive",108,1.3,18,1.5,22,1,18,1.3,16,1.2,34,1.9
Hemolytic uremic syndrome,3,0,0,0,1,0,2,0.1,0,0,0,0
Hepatitis A,30,0.4,5,0.4,12,0.5,8,0.6,2,0.1,3,0.2
"Hepatitis B, acute",84,1,8,0.6,9,0.4,22,1.6,29,2.1,16,0.9
"Hepatitis C, acute",25,0.3,8,0.6,1,0,10,0.7,5,0.4,1,0.1
HIV disease*,"1,085",13.6,67,5.4,314,14.1,85,6.3,263,19.2,356,19.7
Influenza,"18,153",226.9,"2,761",223.1,"3,136",140.6,"5,168",381,"4,705",344.1,"2,383",131.7
Lead - elevated blood levels in children**,274,16.7,31,12.2,40,8.1,46,18.9,95,34.6,62,16.7
Legionellosis,93,1.2,19,1.5,20,0.9,22,1.6,20,1.5,12,0.7
Listeriosis,15,0.2,2,0.2,6,0.3,0,0,1,0.1,6,0.3
Lyme disease,"1,023",12.8,345,27.9,468,21,122,9,45,3.3,43,2.4
Malaria,78,1,6,0.5,55,2.5,3,0.2,6,0.4,8,0.4
Measles,7,0.1,4,0.3,2,0.1,0,0,0,0,1,0.1
Meningococcal disease,18,0.2,5,0.4,3,0.1,4,0.3,0,0,6,0.3
Mumps,13,0.2,0,0,8,0.4,1,0.1,1,0.1,3,0.2
Pertussis,399,5,117,9.5,89,4,109,8,58,4.2,26,1.4
Q fever,3,0,2,0.2,0,0,0,0,1,0.1,0,0
Rabies in animals ~,618,-,137,-,84,-,218,-,94,-,85,-
Salmonellosis,"1,208",15.1,192,15.5,286,12.8,192,14.2,212,15.5,326,18
Shigellosis,107,1.3,8,0.6,60,2.7,5,0.4,12,0.9,22,1.2
Spotted Fever Rickettsiosis (including RMSF),231,2.9,75,6.1,35,1.6,26,1.9,72,5.3,23,1.3
"Staphylococcus aureus infection, invasive (MRSA)","1,304",16.3,212,17.1,174,7.8,301,22.2,274,20,343,19
"Streptococcal disease, Group A, invasive or TSS",192,2.4,40,3.2,52,2.3,21,1.5,26,1.9,53,2.9
"Streptococcus pneumoniae, invasive***",33,6.5,5,6.6,12,7.4,3,4.1,6,7.3,7,6
"Syphilis, early",502,6.3,38,3.1,102,4.6,56,4.1,124,9.1,182,10.1
Tuberculosis,221,2.8,15,1.2,137,6.1,15,1.1,28,2,26,1.4
Typhoid fever,9,0.1,0,0,7,0.3,0,0,0,0,2,0.1
Vibrio infection,30,0.4,3,0.2,9,0.4,0,0,2,0.1,16,0.9